,ROLE,ACTOR NAME,DETAILS,LINKS,DESCRIPTION
0,Actor,Aamir Khan,"Top Rated Movies:1)3 Idiots (2009) 8.4/10
2)Dangal (2016) 8.4/10
3)Taare Zameen Par (2007) 8.4/10
4)Rang De Basanti (2006) 8.2/10
5)Andaz Apna Apna (1994) 8.2/10
6)Jo Jeeta Wohi Sikandar (1992) 8.2/10
7)PK (2014) 8.1/10
8)Lagaan: Once Upon a Time in India (2001) 8.1/10
9)Dil Chahta Hai (2001) 8.1/10
10)Sarfarosh (1999) 8.1/10Next Movies: 1)Lal Singh Chaddha (2020)
2)Mogul: The Gulshan Kumar Story ???
3)Vikram Veda Remake ???","https://m.media-amazon.com/images/M/MV5BMjAwMjk3NDUzN15BMl5BanBnXkFtZTcwNjI4MTY0NA@@._V1_UX140_CR0,0,140,209_AL_.jpg
",Aamir is no doubt one of the most dedicated actors in this world. With his recent success in India and China markets combined he has got the title of World's Biggest Superstar. He went through rapid transformations in his body structure for his films to bring out the reality factor in his ...
1,Actor,Akshay Kumar,"Top Rated Movies:1)Hera Pheri (2000) 8.2/10
2)OMG: Oh My God! (2012) 8.1/10
3)Airlift (2016) 8/10
4)Baby (2015) 8/10
5)Special Chabbis (2013) 8/10
6)Padman (2018) 8/10
7)Aankhen (2002) 7.4/10
8)Khakee (2004) 7.4/10
9)Kesari (2019) 7.4/10
10)Bhool Bhulaiyaa 2007 7.3/10Next Movies:1)Sooryavanshi (2020) 
2)Laxmmi Bomb (2020) 
3)Prithviraj (2020)
4)Bachchan Pandey (2021)
5)Atrangi Re (2021)
6)Bell Bottom (2021)","https://m.media-amazon.com/images/M/MV5BODI4NDY1NzkyM15BMl5BanBnXkFtZTgwNzM3MDM0OTE@._V1_UY209_CR13,0,140,209_AL_.jpg
","Akshay Kumar, born September 9, 1967, is an actor. He studied martial arts in Hong Kong. It was a student that suggested that he try modeling. Because of his success as model, he was offered films. Along with his good looks and excellent martial art skills, he was always the first choice to do ..."
2,Actor,Ajay Devgn,"Top Rated Movies:1)Drishyam (2015) 8.3/10
2)Omkara (2006) 8.1/10
3)The Legend of Bhagat Singh (2002) 8.1/10
4)Tanhaji: The Unsung Warrior (2020) 8.1/10
5)Company (2002) 8/10
6)Zakhm (1998) 7.9/10
7)Gangaajal (2003) 7.8/10
8)Hum Dil De Chuke Sanam (1999) 7.6/10
9)Raincoat (2004) 7.6/10
10)Once Upon a Time in Mumbaai (2010) 7.4/10Next Movies:1)Bhuj: The Pride Of India (2020)
2)Maidaan (2020)
3)RRR (2021)
4)Kaithi Remake (2021)
5)Chanakya (2021)","https://m.media-amazon.com/images/M/MV5BMTY0MDY2MDMwOV5BMl5BanBnXkFtZTgwNDE4MDM0OTE@._V1_UY209_CR6,0,140,209_AL_.jpg
","Ajay Devgn is an Indian film actor, director, and producer. He made his film debut with Phool Aur Kaante in 1991 and received a Filmfare Award for Best Male Debut for his performance in the film. He then starred in films such as Jigar (1992), Dilwale (1994), Suhaag (1994), Naajayaz (1995), Diljale ..."
3,Actor,Shah Rukh Khan,"Top Rated Movies:1)Swades: We, the People (2004) 8.2/10
2)Chak De! India (2007) 8.2/10
3)Dilwale Dulhania Le Jayenge (1995) 8.1/10
4)My Name Is Khan (2010) 8/10
5)Kal Ho Naa Ho (2003) 8/10
6)Hey Ram (2000) 7.9/10
7)Veer-Zaara (2004) 7.8/10
8)Darr (1993) 7.8/10
9)Kabhi Haan Kabhi Naa (1994) 7.8/10
10)Baazigar (1993) 7.7/10Next Movies:1)Don 3 ???","https://m.media-amazon.com/images/M/MV5BZDk1ZmU0NGYtMzQ2Yi00N2NjLTkyNWEtZWE2NTU4NTJiZGUzXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR3,0,140,209_AL_.jpg
","Shahrukh Khan was born on 2 November 1965 in New Delhi, India. He married Gauri Khan on 25 October 1991. They have three children, son Aryan Khan (b. 1997), son AbRam (b.2013) and daughter Suhana (b. 2000). Khan started out his career by appearing in several television serials during 1988-1990. He ..."
4,Actor,Amitabh Bachchan,"Top Rated Movies:1)Anand (1971) 8.8/10
2)Chupke Chupke (1975) 8.4/10
3)Sholay (1975) 8.2/10
4)Black (2005) 8.2/10
5)Pink (2016) 8.2/10
6)Deewaar (1975) 8.1/10
7)Badla (2019) 7.9/10
8)Don (1978) 7.8/10
9)Trishul (1978) 7.8/10
10)Kaala Patthar (1979) 7.7/10
11)Agneepath (1990) 7.7/10Next Movies:1)Sye Raa (2019)
2)Jhund (2019) or (2020)
3)Chehre (2020)
4)Gulabo Sitabo (2020)
5)Brahmastra (2020)","https://m.media-amazon.com/images/M/MV5BNTk1OTUxMzIzMV5BMl5BanBnXkFtZTcwMzMxMjI0Nw@@._V1_UY209_CR6,0,140,209_AL_.jpg
","Son of well known poet Harivansh Rai Bachchan and Teji Bachchan. He has a brother named Ajitabh. He completed his education from Uttar Pradesh and moved to Bombay to find work as a film star, in vain though, as film-makers preferred someone with a fairer skin, and he was not quite fair enough. But ..."
5,Actor,Irrfan Khan,"Top Rated Movies:1)Talvar (2015) 8.2/10
2)Paan Singh Tomar (2012) 8.2/10
3)Maqbool (2003) 8.2/10
4)Slumdog Millionaire (2008) 8/10
5)Life of Pi (2012) 7.9/10
6)Dabba (2013) 7.8/10
7)Hindi Medium (2017) 7.8/10
8)Mumbai Meri Jaan (2008) 7.7/10
9)Haasil (2003) 7.6/10
10)Piku (2015) 7.6/10Next Movies:1)The Wicked Path (2019)
2)Angrezi Medium (2020)","https://m.media-amazon.com/images/M/MV5BNDg3NDgxNzY4NF5BMl5BanBnXkFtZTcwODMxODQzMg@@._V1_UY209_CR8,0,140,209_AL_.jpg
","Born Sahabzade Irfan Ali Khan, in Jaipur, Rajasthan (NW India) January 7, 1967 to a Pashto speaking Muslim family. Khan's mother, Begum Khan, was from the Tonk Hakim family and his father, Jagirdar Khan, from the Khajuriya village near the Tonk district, ran a tire business.The Khan family name ..."
6,Actor,Manoj Bajpayee,"Top Rated Movies:1)Gangs of Wasseypur (2012) 8.2/10
2)Satya (1998) 8.2/10
3)Vedam (2010) 8.1/10
4)Pinjar: Beyond Boundaries... (2003) 8/10
5)Special Chabbis (2013) 8/10
6)1971 (2007) 7.9/10
7)Veer-Zaara (2004) 7.8/10
8)Aligarh (2015) 7.8/10
9)Budhia Singh: Born to Run (2016) 7.8/10
10)Kaun? (1999) 7.8/10Next Movies:1)Kurup (2020)
2)Manekshaw (2021)
3)Satyameva Jayate 2 ???","https://m.media-amazon.com/images/M/MV5BMzUxODk5MmEtZGQxOC00NzUxLWI5YTEtYWFjMjZmZTIwNTA5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR8,0,140,209_AL_.jpg
","Manoj Bajpayee was born on April 23, 1969 in Belwa, Bihar, India. He is known for his work on Gangs of Wasseypur (2012), Satya (1998) and Aks (2001). He has been married to Neha since February 23, 2005."
7,Actor,Nawazuddin Siddiqui,"Top Rated Movies:1)Black Friday (2004) 8.6/10
2)Gangs of Wasseypur (2012) 8.2/10
3)Kahaani (2012) 8.2/10
4)Paan Singh Tomar (2012) 8.2/10
5)Bajrangi Bhaijaan (2015) 8.1/10
6)Dev.D (2009) 8.1/10
7)Manjhi: The Mountain Man (2015) 8/10
8)Dabba (2013) 7.6/10
9)Badlapur (2015) 7.5/10
10)Peepli (Live) (2010) 7.5/10Next Movies:1)Motichoor Chaknachoor (2019)
2)Housefull 4 (2019)
2)Bole chudiyan (2020)
3)Krrish 4 ???","https://m.media-amazon.com/images/M/MV5BMTU5NTQwMTI0NV5BMl5BanBnXkFtZTcwNzQyNTgxOA@@._V1_UX140_CR0,0,140,209_AL_.jpg
","Nawazuddin Siddiqui (born 1974) also known as Nowaz is an Indian film actor who has appeared in some of Bollywood's major films including, Black Friday (2004), New York (2009), Peepli Live (2010), Kahani (2012), Gangs of Wasseypur (2012) and Gangs of Wasseypur - Part 2 (2012).Early life and ..."
8,Actor,Vicky Kaushal,"Top Rated Movies:1)Uri: The Surgical Strike (2019) 8.3/10
2)Masaan (2015) 8.1/10
3)Sanju (2018) 7.8/10
4)Raazi (2018) 7.8/10
5)Raman Raghav 2.0 (2016) 7.3/10
6)Love Per Square Foot (2018) 7.2/10Next Movies:2)Udham Singh (2021)
3)Takht (2021)
4)Manekshaw (2021)","https://m.media-amazon.com/images/M/MV5BMjIxMjMzNjQ0OF5BMl5BanBnXkFtZTgwODc4ODEzOTE@._V1_UY209_CR87,0,140,209_AL_.jpg
","Vicky Kaushal is an actor and assistant director, known for Uri: The Surgical Strike (2019), Sanju (2018) and Masaan (2015)."
9,Actor,Rajkummar Rao,"Top Rated Movies:1)Shahid (2013) 8.3/10
2)Queen (2014) 8.2/10
3)Aligarh (2016) 7.8/10
4)Newton (2017) 7.7/10
5)Stree 7.7/10 (2018)
6)Kai po che! (2013) 7.6/10
7)Trapped (2017) 7.6/10
8)Shaadi Mein Zaroor Aana (2017) 7.6/10
9)Bareilly Ki Barfi (2017) 7.5/10
10)City Lights (2014) 7.3/10Next Movies:1)Ludo (2020)
2)Rooh-Afza (2020)
3)Turram Khan (2020)
4)Badhaai Do (2021)
5)Untitled Abhishek Jain Film (2021)","https://m.media-amazon.com/images/M/MV5BMzAxNWIzOWItMDM1NC00NGMyLWIwMDEtNWZjODEyOTFiZjQ4XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_UX140_CR0,0,140,209_AL_.jpg
",Raj Kumar is also known as Rajkummar Rao. He was born in Gurgaon. He finished his schooling in Gurgaon and graduated in Arts from Delhi University. He was simultaneously doing theatre with Kshitij Repertory and SRC in Delhi. He is an Acting graduate from Pune's Film and Television Institute of ...
